timestamp,threat_type,source_ip,destination_ip,confidence,details
2026-07-18T13:32:31.964400,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:32:33.131224,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:32:34.155384,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:32:35.076437,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:32:36.100369,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:32:37.230053,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:32:38.255818,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:32:39.172642,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:33:00.668027,anomaly,10.53.249.27,185.60.218.53,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -28.124, 'confidence': 1.0}"
2026-07-18T13:33:01.392611,anomaly,4.150.223.103,10.53.249.27,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -187.047, 'confidence': 1.0}"
2026-07-18T13:33:01.520920,anomaly,185.60.218.53,10.53.249.27,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -5.23, 'confidence': 1.0}"
2026-07-18T13:33:19.259890,anomaly,104.18.32.47,10.53.249.27,0.9105751844724134,"{'type': 'anomaly', 'method': 'zscore', 'feature': 'byte_rate', 'z_score': 5.46, 'confidence': 0.9105751844724134}"
2026-07-18T13:33:30.857842,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -23.481, 'confidence': 1.0}"
2026-07-18T13:34:01.184587,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -6.999, 'confidence': 1.0}"
2026-07-18T13:34:31.409330,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -13.3, 'confidence': 1.0}"
2026-07-18T13:35:59.382382,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -9.032, 'confidence': 1.0}"
2026-07-18T13:36:19.985004,anomaly,104.18.32.47,10.53.249.27,0.900607760359625,"{'type': 'anomaly', 'method': 'zscore', 'feature': 'byte_rate', 'z_score': 5.4, 'confidence': 0.900607760359625}"
2026-07-18T13:36:46.159499,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -3.285, 'confidence': 1.0}"
2026-07-18T13:36:46.223725,anomaly,34.40.52.46,10.53.249.27,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -3.214, 'confidence': 1.0}"
2026-07-18T13:37:46.063711,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -17.321, 'confidence': 1.0}"
2026-07-18T13:37:46.125683,anomaly,34.40.52.46,10.53.249.27,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -17.263, 'confidence': 1.0}"
2026-07-18T13:38:36.385946,anomaly,140.82.121.5,10.53.249.27,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -14.753, 'confidence': 1.0}"
2026-07-18T13:38:37.186676,anomaly,4.207.44.64,10.53.249.27,1.0,"{'type': 'anomaly', 'method': 'zscore', 'feature': 'packet_size', 'z_score': 7.02, 'confidence': 1.0}"
2026-07-18T13:38:39.593620,anomaly,10.53.249.27,4.207.44.64,0.9597559315347061,"{'type': 'anomaly', 'method': 'zscore', 'feature': 'packet_size', 'z_score': 5.76, 'confidence': 0.9597559315347061}"
2026-07-18T13:38:45.901315,anomaly,34.40.52.46,10.53.249.27,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -19.703, 'confidence': 1.0}"
2026-07-18T13:39:10.237507,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -19.299, 'confidence': 1.0}"
2026-07-18T13:39:18.505813,anomaly,34.40.52.46,10.53.249.27,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -18.115, 'confidence': 1.0}"
2026-07-18T13:39:20.523957,anomaly,104.18.32.47,10.53.249.27,0.9365594617070405,"{'type': 'anomaly', 'method': 'zscore', 'feature': 'byte_rate', 'z_score': 5.62, 'confidence': 0.9365594617070405}"
2026-07-18T13:39:42.693829,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -31.125, 'confidence': 1.0}"
2026-07-18T13:39:48.515601,anomaly,34.40.52.46,10.53.249.27,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -15.608, 'confidence': 1.0}"
2026-07-18T13:40:12.953334,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -12.008, 'confidence': 1.0}"
2026-07-18T13:40:18.769437,anomaly,34.40.52.46,10.53.249.27,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -11.915, 'confidence': 1.0}"
2026-07-18T13:40:40.565783,anomaly,4.150.223.98,10.53.249.27,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -27.774, 'confidence': 1.0}"
2026-07-18T13:40:43.028623,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -10.159, 'confidence': 1.0}"
